student_id,name,accuracy,avg_completion_time,score_history,error_types,learning_pace,attendance_rate,homework_completion_rate,Recommended_Level
S0001,Student_0001,0.62,18.0,"[80, 67, 60, 87, 98]","{'reading': 4, 'vocab': 4, 'logic': 0}",19.6,0.76,0.94,Medium (Standard)
S0002,Student_0002,0.96,8.1,"[68, 76, 64, 90, 99]","{'reading': 2, 'vocab': 2, 'logic': 3}",10.0,0.92,0.79,Hard (Challenge)
S0003,Student_0003,0.83,14.2,"[92, 72, 73, 92, 88]","{'reading': 2, 'vocab': 0, 'logic': 3}",12.2,0.96,0.67,Medium (Standard)
S0004,Student_0004,0.75,16.2,"[69, 90, 65, 60, 66]","{'reading': 1, 'vocab': 2, 'logic': 4}",7.9,0.68,0.9,Medium (Standard)
S0005,Student_0005,0.49,21.3,"[87, 75, 82, 79, 97]","{'reading': 0, 'vocab': 3, 'logic': 4}",14.2,0.63,0.77,Medium (Standard)
S0006,Student_0006,0.49,22.4,"[80, 77, 65, 88, 78]","{'reading': 0, 'vocab': 0, 'logic': 4}",9.2,0.95,0.54,Medium (Standard)
S0007,Student_0007,0.43,23.1,"[62, 80, 94, 99, 62]","{'reading': 0, 'vocab': 4, 'logic': 4}",8.1,0.76,0.78,Medium (Standard)
S0008,Student_0008,0.91,12.7,"[79, 93, 80, 82, 65]","{'reading': 2, 'vocab': 4, 'logic': 4}",12.7,0.82,0.95,Hard (Challenge)
S0009,Student_0009,0.75,14.9,"[82, 68, 76, 61, 78]","{'reading': 2, 'vocab': 1, 'logic': 1}",5.1,0.99,0.7,Medium (Standard)
S0010,Student_0010,0.82,10.3,"[79, 68, 76, 86, 61]","{'reading': 3, 'vocab': 2, 'logic': 0}",5.1,0.63,0.65,Medium (Standard)
S0011,Student_0011,0.41,22.7,"[64, 98, 77, 66, 76]","{'reading': 3, 'vocab': 4, 'logic': 3}",8.3,0.86,0.57,Medium (Standard)
S0012,Student_0012,0.97,11.0,"[97, 84, 64, 89, 71]","{'reading': 3, 'vocab': 4, 'logic': 0}",5.6,0.63,0.58,Medium (Standard)
S0013,Student_0013,0.89,12.7,"[63, 83, 73, 64, 77]","{'reading': 1, 'vocab': 0, 'logic': 2}",6.6,0.75,0.72,Medium (Standard)
S0014,Student_0014,0.53,16.8,"[71, 77, 76, 89, 83]","{'reading': 2, 'vocab': 2, 'logic': 0}",10.1,0.92,0.8,Medium (Standard)
S0015,Student_0015,0.51,17.6,"[60, 74, 91, 68, 74]","{'reading': 3, 'vocab': 3, 'logic': 4}",17.0,0.77,0.54,Medium (Standard)
S0016,Student_0016,0.51,21.9,"[94, 81, 86, 78, 71]","{'reading': 3, 'vocab': 0, 'logic': 4}",13.6,1.0,0.97,Medium (Standard)
S0017,Student_0017,0.58,18.3,"[60, 69, 91, 98, 81]","{'reading': 1, 'vocab': 2, 'logic': 3}",12.7,0.82,0.88,Medium (Standard)
S0018,Student_0018,0.71,17.2,"[77, 98, 88, 77, 67]","{'reading': 1, 'vocab': 3, 'logic': 1}",9.4,0.73,0.79,Medium (Standard)
S0019,Student_0019,0.65,17.1,"[97, 68, 68, 67, 94]","{'reading': 1, 'vocab': 4, 'logic': 3}",19.0,0.69,0.91,Medium (Standard)
S0020,Student_0020,0.57,18.7,"[89, 63, 98, 79, 84]","{'reading': 3, 'vocab': 3, 'logic': 1}",11.0,0.74,0.54,Medium (Standard)
S0021,Student_0021,0.76,16.7,"[73, 81, 90, 82, 79]","{'reading': 4, 'vocab': 3, 'logic': 0}",6.3,0.75,0.74,Medium (Standard)
S0022,Student_0022,0.48,19.4,"[60, 66, 90, 71, 64]","{'reading': 3, 'vocab': 1, 'logic': 1}",14.3,0.63,0.82,Medium (Standard)
S0023,Student_0023,0.57,18.8,"[97, 71, 98, 77, 61]","{'reading': 1, 'vocab': 3, 'logic': 1}",6.7,0.75,0.91,Medium (Standard)
S0024,Student_0024,0.62,16.7,"[76, 63, 66, 90, 98]","{'reading': 1, 'vocab': 1, 'logic': 4}",10.2,0.79,0.89,Medium (Standard)
S0025,Student_0025,0.67,15.7,"[93, 74, 73, 65, 96]","{'reading': 1, 'vocab': 2, 'logic': 2}",12.6,0.89,0.64,Medium (Standard)
S0026,Student_0026,0.86,12.2,"[81, 81, 69, 62, 71]","{'reading': 4, 'vocab': 0, 'logic': 4}",18.1,0.86,0.97,Hard (Challenge)
S0027,Student_0027,0.52,20.0,"[61, 63, 69, 98, 83]","{'reading': 0, 'vocab': 3, 'logic': 2}",12.4,0.88,0.56,Medium (Standard)
S0028,Student_0028,0.7,15.0,"[64, 91, 69, 68, 86]","{'reading': 4, 'vocab': 2, 'logic': 4}",15.5,0.6,0.94,Medium (Standard)
S0029,Student_0029,0.75,17.5,"[83, 97, 63, 83, 94]","{'reading': 2, 'vocab': 3, 'logic': 0}",19.9,0.69,0.99,Medium (Standard)
S0030,Student_0030,0.43,19.6,"[96, 99, 94, 90, 84]","{'reading': 4, 'vocab': 3, 'logic': 4}",7.0,0.86,0.59,Medium (Standard)
